"species","bio1","bio12","bio5","bio6","elev"
"Palicourea_acanthacea",2.39794000867204,3.45757914699576,2.47421626407626,2.30749603791321,223
"Palicourea_acuminata",2.40312052117582,3.44169513564072,2.49692964807321,2.28555730900777,242
"Palicourea_allenii",2.35983548233989,3.41262852054438,2.45788189673399,2.21218760440396,769
"Palicourea_amethystina",2.14301480025409,3.10991586302379,2.31175386105575,1.82607480270083,2655
"Palicourea_andina",2.29446622616159,3.35082927358297,2.41329976408125,2.13987908640124,1560
"Palicourea_angustifolia",2.20682587603185,3.30297993674825,2.33645973384853,2.01703333929878,2194
"Palicourea_apicata",2.16583509526631,3.13986768370525,2.29883114179104,1.89209460269048,2493.5
"Palicourea_bangii",2.23298868414291,3.07260752915206,2.40226053097868,1.88649072517248,2176
"Palicourea_berteroana",2.34439227368511,3.41722071616158,2.45788189673399,2.19033169817029,682
"Palicourea_brachiata",2.39619934709574,3.4437322414016,2.49276038902684,2.27415784926368,299
"Palicourea_brachypoda",2.31597034545692,3.27783833300205,2.46834733041216,2.05307844348342,266
"Palicourea_brevicollis",2.31806333496276,3.19354143195634,2.48287358360875,1.99122607569249,352.5
"Palicourea_callithrix",2.40312052117582,3.38952046584638,2.50379068305718,2.30319605742049,183
"Palicourea_conephoroides",2.31597034545692,3.17143390094301,2.43775056282039,2.10889983997356,1433
"Palicourea_correae",2.36361197989214,3.45530177165708,2.46089784275655,2.26481782300954,763
"Palicourea_corymbifera",2.42160392686983,3.38934316666555,2.51188336097887,2.31597034545692,134.5
"Palicourea_crocea",2.39093510710338,3.25671774597749,2.4983105537896,2.24551266781415,211
"Palicourea_croceoides",2.40654018043396,3.31365634661803,2.50242711998443,2.29003461136252,223
"Palicourea_cyanococca",2.39794000867204,3.48508223572325,2.48784454598882,2.27415784926368,300.5
"Palicourea_deflexa",2.37657695705651,3.26030994579492,2.49066008662955,2.23552844690755,398
"Palicourea_demissa",2.21218760440396,3.24993175663419,2.35024801833416,2.02530586526477,2107
"Palicourea_dichotoma",2.38111414214324,3.28201056286846,2.47421626407626,2.25527250510331,266
"Palicourea_didymocarpos",2.40654018043396,3.29721285068033,2.50379068305718,2.26245108973043,229.5
"Palicourea_divaricata",2.36921585741014,3.12839926871781,2.46239799789896,2.24303804868629,225.5
"Palicourea_domingensis",2.39093510710338,3.29950729870049,2.51587384371168,2.22010808804005,329
"Palicourea_egensis",2.41995574848976,3.44746813094976,2.5092025223311,2.31806333496276,193
"Palicourea_elata",2.3096301674259,3.463594402187,2.44715803134222,2.14921911265538,1088
"Palicourea_flavescens",2.05690485133647,3.12580645813953,2.21218760440396,1.81291335664286,3007
"Palicourea_flavifolia",2.28103336724773,3.07462711220343,2.43296929087441,1.98452148365291,1742.5
"Palicourea_glabra",2.41161970596323,3.46805179145424,2.50379068305718,2.31491878291304,121
"Palicourea_glomerulata",2.40483371661994,3.49858620881752,2.49136169383427,2.29885307640971,122
"Palicourea_gracilenta",2.39794000867204,3.42926766643317,2.4983105537896,2.26362155819404,307
"Palicourea_grandiflora",2.40993312333129,3.39013971337841,2.5092025223311,2.26951294421792,208
"Palicourea_guianensis",2.40312052117582,3.41979058610636,2.49692964807321,2.29003461136252,217.5
"Palicourea_hazenii",2.27989348410028,3.37593780901867,2.40140054078154,2.12385164096709,1497
"Palicourea_jelskii",2.17897694729317,3.05956341790127,2.36361197989214,1.88081359228079,2512
"Palicourea_justiciifolia",2.41497334797082,3.29710315265276,2.51054501020661,2.30319605742049,177.5
"Palicourea_lasiantha",2.39967372148104,3.43007505555194,2.49554433754645,2.26245108973043,269
"Palicourea_lehmannii",2.32428245529769,3.18723861983148,2.43616264704076,2.18184358794477,1446
"Palicourea_lineata",2.19312459835446,3.10822665637493,2.36921585741014,1.85733249643127,2296
"Palicourea_loxensis",2.23677267933738,3.16672605558005,2.38200208727323,2.05499164740995,2056
"Palicourea_luteonivea",2.32633586092875,3.37473581993072,2.4456042032736,2.17609125905568,1303.5
"Palicourea_macrobotrys",2.36172783601759,3.18836592606315,2.48572142648158,2.13672056715641,522
"Palicourea_marcgravii",2.33041377334919,3.11461098423217,2.46239799789896,2.11058971029925,692.5
"Palicourea_nitidella",2.42813479402879,3.38471174293828,2.51982799377572,2.32837960343874,100.5
"Palicourea_obliquinervia",2.40654018043396,3.37254380075907,2.50514997831991,2.30319605742049,183
"Palicourea_ostreophora",2.37657695705651,3.47187819930729,2.47275644931721,2.24303804868629,634
"Palicourea_padifolia",2.27875360095283,3.31344537042641,2.42651126136458,2.06069784035361,1395
"Palicourea_petiolaris",2.28324820776788,3.07591038371926,2.4099199722576,2.08098330818204,1286
"Palicourea_polycephala",2.42651126136458,3.33965015761368,2.51188336097887,2.33041377334919,126
"Palicourea_prunifolia",2.38827795535163,3.22993768590793,2.50514997831991,2.16878952507157,388.5
"Palicourea_pubescens",2.39093510710338,3.25406445291434,2.50650503240487,2.20951501454263,321
"Palicourea_pyramidalis",2.26599477570628,3.35983548233989,2.38200208727323,2.10889983997356,1723.5
"Palicourea_quadrifolia",2.40993312333129,3.39269695325967,2.51054501020661,2.30749603791321,157
"Palicourea_racemosa",2.40312052117582,3.34350303316857,2.50310890152081,2.27875360095283,210
"Palicourea_reticulata",2.22271647114758,3.06557971472845,2.38738982633873,1.92427928606188,2321
"Palicourea_rhodothamna",2.41830129131975,3.44653716707364,2.50514997831991,2.31175386105575,132
"Palicourea_rigida",2.32735773218374,3.16316137497702,2.46089784275655,2.09691001300806,828.5
"Palicourea_seemannii",2.37291200297011,3.47552591503928,2.46239799789896,2.27415784926368,602
"Palicourea_sessilis",2.26951294421792,3.17638069224327,2.4345689040342,1.95904139232109,811
"Palicourea_standleyana",2.28555730900777,3.48748829742542,2.40822671129158,2.12385164096709,1415
"Palicourea_stenosepala",2.24797326636181,3.24328614608345,2.38291620427765,2.05307844348342,1915
"Palicourea_stipularis",2.22271647114758,3.08314414314305,2.3747483460101,1.95904139232109,2321
"Palicourea_subfusca",2.40140054078154,3.3923451553612,2.4996870826184,2.26245108973043,249
"Palicourea_suerrensis",2.40483371661994,3.52296559549199,2.49692964807321,2.29446622616159,202
"Palicourea_sulphurea",2.20139712432045,3.10585067438514,2.35506714817026,1.96613538794975,2337.5
"Palicourea_tetragona",2.39794000867204,3.38845645270027,2.50650503240487,2.24303804868629,254
"Palicourea_thyrsiflora",2.27760770256304,3.20614995218368,2.40140054078154,2.10380372095596,1718
"Palicourea_timbiquensis",2.40993312333129,3.6918079338669,2.4792867192755,2.33041377334919,99.5
"Palicourea_tinctoria",2.30749603791321,3.19284611518884,2.42488163663107,2.11727129565576,1508
"Palicourea_tomentosa",2.40140054078154,3.44994098877334,2.49554433754645,2.28555730900777,247
"Palicourea_topoensis",2.30535136944662,3.56264967221192,2.42975228000241,2.15533603746506,1241
"Palicourea_triphylla",2.40312052117582,3.39846071096688,2.50105926221775,2.26951294421792,283
"Palicourea_winkleri",2.37566265153331,3.47370411603619,2.48144026328295,2.2405492482826,605
"Palicourea_woronovii",2.40140054078154,3.4605971888976,2.49276038902684,2.29446622616159,292
"Psychotria_rosea",2.41830129131975,3.39515159150454,2.51188336097887,2.30749603791321,177
"Psychotria_suterella",2.25527250510331,3.2027606873932,2.43136376415899,1.94448267215017,700
