species,bio1,bio12,bio5,bio6,elev,inflorescence_type,Principal_pollinator
Palicourea_acanthacea,2.397940009,3.457579147,2.474216264,2.307496038,223,3,Insect
Palicourea_acuminata,2.403120521,3.441695136,2.496929648,2.285557309,242,0,Insect
Palicourea_allenii,2.359835482,3.412628521,2.457881897,2.212187604,769,0,Insect
Palicourea_amethystina,2.1430148,3.109915863,2.311753861,1.826074803,2655,2,Hummingbird
Palicourea_andina,2.294466226,3.350829274,2.413299764,2.139879086,1560,2,Hummingbird
Palicourea_angustifolia,2.206825876,3.302979937,2.336459734,2.017033339,2194,2,Hummingbird
Palicourea_apicata,2.165835095,3.139867684,2.298831142,1.892094603,2493.5,2,Hummingbird
Palicourea_bangii,2.232988684,3.072607529,2.402260531,1.886490725,2176,0,Insect
Palicourea_berteroana,2.344392274,3.417220716,2.457881897,2.190331698,682,0,Insect
Palicourea_brachiata,2.396199347,3.443732241,2.492760389,2.274157849,299,0,Insect
Palicourea_brachypoda,2.315970345,3.277838333,2.46834733,2.053078443,266,1,Insect
Palicourea_brevicollis,2.318063335,3.193541432,2.482873584,1.991226076,352.5,0,Insect
Palicourea_callithrix,2.403120521,3.389520466,2.503790683,2.303196057,183,1,Insect
Palicourea_conephoroides,2.315970345,3.171433901,2.437750563,2.10889984,1433,0,Insect
Palicourea_correae,2.36361198,3.455301772,2.460897843,2.264817823,763,3,Insect
Palicourea_corymbifera,2.421603927,3.389343167,2.511883361,2.315970345,134.5,2,Hummingbird
Palicourea_crocea,2.390935107,3.256717746,2.498310554,2.245512668,211,2,Hummingbird
Palicourea_croceoides,2.40654018,3.313656347,2.50242712,2.290034611,223,2,Hummingbird
Palicourea_cyanococca,2.397940009,3.485082236,2.487844546,2.274157849,300.5,0,Insect
Palicourea_deflexa,2.376576957,3.260309946,2.490660087,2.235528447,398,0,Insect
Palicourea_demissa,2.212187604,3.249931757,2.350248018,2.025305865,2107,2,Hummingbird
Palicourea_dichotoma,2.381114142,3.282010563,2.474216264,2.255272505,266,1,Insect
Palicourea_didymocarpos,2.40654018,3.297212851,2.503790683,2.26245109,229.5,0,Insect
Palicourea_divaricata,2.369215857,3.128399269,2.462397998,2.243038049,225.5,2,Hummingbird
Palicourea_domingensis,2.390935107,3.299507299,2.515873844,2.220108088,329,0,Insect
Palicourea_egensis,2.419955748,3.447468131,2.509202522,2.318063335,193,0,Insect
Palicourea_elata,2.309630167,3.463594402,2.447158031,2.149219113,1088,3,Insect
Palicourea_flavescens,2.056904851,3.125806458,2.212187604,1.812913357,3007,2,Hummingbird
Palicourea_flavifolia,2.281033367,3.074627112,2.432969291,1.984521484,1742.5,2,Hummingbird
Palicourea_glabra,2.411619706,3.468051791,2.503790683,2.314918783,121,1,Insect
Palicourea_glomerulata,2.404833717,3.498586209,2.491361694,2.298853076,122,1,Insect
Palicourea_gracilenta,2.397940009,3.429267666,2.498310554,2.263621558,307,0,Insect
Palicourea_grandiflora,2.409933123,3.390139713,2.509202522,2.269512944,208,2,Hummingbird
Palicourea_guianensis,2.403120521,3.419790586,2.496929648,2.290034611,217.5,2,Hummingbird
Palicourea_hazenii,2.279893484,3.375937809,2.401400541,2.123851641,1497,0,Insect
Palicourea_jelskii,2.178976947,3.059563418,2.36361198,1.880813592,2512,1,Insect
Palicourea_justiciifolia,2.414973348,3.297103153,2.51054501,2.303196057,177.5,3,Insect
Palicourea_lasiantha,2.399673721,3.430075056,2.495544338,2.26245109,269,2,Hummingbird
Palicourea_lehmannii,2.324282455,3.18723862,2.436162647,2.181843588,1446,2,Hummingbird
Palicourea_lineata,2.193124598,3.108226656,2.369215857,1.857332496,2296,2,Hummingbird
Palicourea_loxensis,2.236772679,3.166726056,2.382002087,2.054991647,2056,2,Hummingbird
Palicourea_luteonivea,2.326335861,3.37473582,2.445604203,2.176091259,1303.5,2,Hummingbird
Palicourea_macrobotrys,2.361727836,3.188365926,2.485721426,2.136720567,522,2,Hummingbird
Palicourea_marcgravii,2.330413773,3.114610984,2.462397998,2.11058971,692.5,2,Hummingbird
Palicourea_nitidella,2.428134794,3.384711743,2.519827994,2.328379603,100.5,2,Hummingbird
Palicourea_obliquinervia,2.40654018,3.372543801,2.505149978,2.303196057,183,0,Insect
Palicourea_ostreophora,2.376576957,3.471878199,2.472756449,2.243038049,634,3,Insect
Palicourea_padifolia,2.278753601,3.31344537,2.426511261,2.06069784,1395,2,Hummingbird
Palicourea_petiolaris,2.283248208,3.075910384,2.409919972,2.080983308,1286,0,Insect
Palicourea_polycephala,2.426511261,3.339650158,2.511883361,2.330413773,126,0,Insect
Palicourea_prunifolia,2.388277955,3.229937686,2.505149978,2.168789525,388.5,1,Insect
Palicourea_pubescens,2.390935107,3.254064453,2.506505032,2.209515015,321,0,Insect
Palicourea_pyramidalis,2.265994776,3.359835482,2.382002087,2.10889984,1723.5,2,Hummingbird
Palicourea_quadrifolia,2.409933123,3.392696953,2.51054501,2.307496038,157,2,Hummingbird
Palicourea_racemosa,2.403120521,3.343503033,2.503108902,2.278753601,210,0,Insect
Palicourea_reticulata,2.222716471,3.065579715,2.387389826,1.924279286,2321,0,Insect
Palicourea_rhodothamna,2.418301291,3.446537167,2.505149978,2.311753861,132,1,Insect
Palicourea_rigida,2.327357732,3.163161375,2.460897843,2.096910013,828.5,2,Hummingbird
Palicourea_seemannii,2.372912003,3.475525915,2.462397998,2.274157849,602,2,Hummingbird
Palicourea_sessilis,2.269512944,3.176380692,2.434568904,1.959041392,811,1,Insect
Palicourea_standleyana,2.285557309,3.487488297,2.408226711,2.123851641,1415,2,Hummingbird
Palicourea_stenosepala,2.247973266,3.243286146,2.382916204,2.053078443,1915,2,Hummingbird
Palicourea_stipularis,2.222716471,3.083144143,2.374748346,1.959041392,2321,2,Hummingbird
Palicourea_subfusca,2.401400541,3.392345155,2.499687083,2.26245109,249,0,Insect
Palicourea_suerrensis,2.404833717,3.522965595,2.496929648,2.294466226,202,1,Insect
Palicourea_sulphurea,2.201397124,3.105850674,2.355067148,1.966135388,2337.5,2,Hummingbird
Palicourea_tetragona,2.397940009,3.388456453,2.506505032,2.243038049,254,0,Insect
Palicourea_thyrsiflora,2.277607703,3.206149952,2.401400541,2.103803721,1718,2,Hummingbird
Palicourea_timbiquensis,2.409933123,3.691807934,2.479286719,2.330413773,99.5,3,Insect
Palicourea_tinctoria,2.307496038,3.192846115,2.424881637,2.117271296,1508,0,Insect
Palicourea_tomentosa,2.401400541,3.449940989,2.495544338,2.285557309,247,3,Insect
Palicourea_topoensis,2.305351369,3.562649672,2.42975228,2.155336037,1241,0,Insect
Palicourea_triphylla,2.403120521,3.398460711,2.501059262,2.269512944,283,2,Hummingbird
Palicourea_winkleri,2.375662652,3.473704116,2.481440263,2.240549248,605,0,Insect
Palicourea_woronovii,2.401400541,3.460597189,2.492760389,2.294466226,292,2,Hummingbird
Psychotria_rosea,2.418301291,3.395151592,2.511883361,2.307496038,177,3,Insect
Psychotria_suterella,2.255272505,3.202760687,2.431363764,1.944482672,700,1,Insect