,Palicourea_suerrensis,Palicourea_justiciifolia,Palicourea_ostreophora,Palicourea_quadrifolia,Palicourea_corymbifera,Palicourea_winkleri,Palicourea_dichotoma,Palicourea_gracilenta,Palicourea_obliquinervia,Palicourea_prunifolia,Palicourea_callithrix,Palicourea_glabra,Palicourea_acuminata,Palicourea_andina,Palicourea_didymocarpos,Palicourea_rhodothamna,Palicourea_triphylla,Palicourea_croceoides,Palicourea_crocea,Palicourea_lasiantha,Palicourea_nitidella,Palicourea_macrobotrys,Palicourea_guianensis,Palicourea_marcgravii,Palicourea_grandiflora,Palicourea_rigida,Palicourea_egensis,Palicourea_polycephala,Palicourea_deflexa,Palicourea_woronovii,Palicourea_bangii,Palicourea_flavifolia,Palicourea_reticulata,Palicourea_stipularis,Palicourea_flavescens,Palicourea_stenosepala,Palicourea_lineata,Palicourea_padifolia,Palicourea_lehmannii,Palicourea_thyrsiflora,Palicourea_demissa,Palicourea_amethystina,Palicourea_standleyana,Palicourea_seemannii,Palicourea_pyramidalis,Palicourea_luteonivea,Palicourea_sulphurea,Palicourea_apicata,Palicourea_loxensis,Palicourea_angustifolia,Palicourea_tetragona,Palicourea_domingensis,Palicourea_pubescens,Palicourea_correae,Palicourea_elata,Palicourea_berteroana,Palicourea_petiolaris,Palicourea_timbiquensis,Palicourea_acanthacea,Palicourea_brachiata,Palicourea_glomerulata,Palicourea_conephoroides,Palicourea_tinctoria,Palicourea_jelskii,Palicourea_allenii,Palicourea_cyanococca,Palicourea_hazenii,Palicourea_tomentosa,Psychotria_rosea,Psychotria_suterella,Palicourea_brachypoda,Palicourea_sessilis,Palicourea_divaricata,Palicourea_racemosa,Palicourea_subfusca,Palicourea_topoensis,Palicourea_brevicollis
Palicourea_suerrensis,100,19.7016,38.8313,35.8421,41.779,98.0648,23.8073,25.0526,27.6689,5.4977,48.4289,55.598,26.9693,7.1689,18.4934,54.7394,96.1114,13.5405,9.9481,23.9413,32.0706,4.2283,30.4715,1.8475,27.7165,2.9845,69.9229,55.0988,17.7588,71.4778,0.5747,1.0006,0.6116,0.3344,0.5074,2.9467,0.4205,1.5207,29.2062,76.6665,1.8823,0.1364,22.0017,11.7383,10.4694,12.5849,94.0978,0.6192,3.2418,2.1555,87.4943,14.4395,11.0869,49.5234,15.0761,15.0695,1.2543,40.6682,24.063,56.3003,77.2025,5.4275,87.114,0.2028,15.2148,66.5008,4.5907,98.8956,89.4017,1.1471,0.375,0.2625,3.3078,24.1732,9.5454,39.4613,0.5603
Palicourea_justiciifolia,77.4545,100,67.8332,53.5406,98.1117,86.2896,72.7776,73.5195,73.8535,61.702,94.0592,84.4182,62.1679,25.0153,91.3911,31.0591,90.325,76.7433,69.5935,80.8382,52.8363,94.2454,71.6909,69.2708,85.5772,79.1067,98.3669,32.7283,79.3084,26.3401,9.2735,15.2952,62.4722,82.7315,1.7386,34.9083,76.0702,25.5558,3.8484,89.5501,7.8823,2.4169,11.0553,52.5776,11.3681,79.0386,93.4714,3.6488,4.4932,7.2914,59.8528,84.995,77.7847,44.6813,26.033,46.7172,62.9628,4.5525,32.4261,76.2352,73.5179,37.0252,79.1737,7.3329,39.6393,61.7025,13.9304,80.9264,73.3196,7.7486,38.9976,27.8535,72.7434,93.8237,93.0715,2.7999,18.0764
Palicourea_ostreophora,98.2867,55.3465,100,35.3057,86.488,91.3495,63.3022,69.976,68.3555,24.1799,85.4886,91.3547,71.4784,50.6414,63.1382,43.9848,80.01,51.5243,42.3929,70.4362,63.5144,24.3756,76.4708,29.8174,73.2001,41.3597,93.6021,21.8723,58.9088,39.4213,7.9487,10.7927,59.1412,67.7606,6.9389,71.7819,5.359,47.3992,75.5186,82.7315,19.2889,2.7164,35.303,84.2623,52.6472,62.7491,92.5127,7.1393,45.9151,21.4557,50.4148,50.0648,60.7495,96.7585,59.7361,62.3981,44.9957,12.3853,67.8199,94.4353,94.6161,29.9459,83.7116,5.5343,63.0571,93.3109,38.4775,88.2063,56.5081,7.6019,3.9608,17.6965,37.2779,75.5232,91.605,27.7394,5.7368
Palicourea_quadrifolia,70.2194,93.5498,77.8873,100,87.7596,98.4618,31.3086,47.1447,72.0812,47.4788,95.8866,65.7075,37.0599,8.3791,69.7585,44.3712,97.772,42.19,34.025,52.6836,69.5454,20.8256,43.9338,11.5403,56.6169,68.5836,92.1037,87.3379,37.4629,52.8191,0.8539,2.2048,72.1499,79.5822,0.4128,64.7807,1.167,1.25,13.6474,95.379,2.6774,0.3279,20.4985,73.5891,4.7553,15.6982,98.903,1.0779,1.5873,2.7294,76.6444,52.1803,34.3327,35.521,19.5204,24.8256,3.2821,7.0527,12.4547,55.3131,63.2026,10.9556,88.793,0.3655,19.6152,47.1432,6.2302,92.4198,87.5852,0.7708,8.8012,1.6819,4.9435,98.0054,99.8974,8.032,1.526
Palicourea_corymbifera,67.3583,56.973,38.1578,84.8242,100,97.5982,95.3517,98.5152,94.3104,68.0593,87.6411,77.1519,40.1172,8.3273,94.0986,57.1643,99.2586,99.5404,99.8026,95.2277,88.9628,98.1193,99.2548,54.4751,96.6666,74.7099,69.8811,57.2539,97.9806,57.3904,0.7904,45.4054,63.6978,77.0368,9.3331,47.988,77.6828,17.1515,5.8864,93.2834,81.756,0.2745,19.9643,71.4929,22.3076,87.6797,95.5503,0.9829,4.7663,2.4548,86.2854,75.6511,83.2112,38.5796,83.5646,23.3109,46.9823,8.6728,20.1641,60.3357,57.1128,9.6331,87.6765,9.3045,21.9454,63.7098,74.7813,97.819,96.3996,0.7117,9.9662,1.4404,19.4084,99.0542,99.7135,6.7628,0.9707
Palicourea_winkleri,20.9308,53.7922,64.0059,36.2718,33.1235,100,73.3154,92.155,95.8366,83.749,99.468,96.2033,88.9938,65.0889,90.9973,93.0459,93.5735,81.0725,70.819,92.9138,87.6106,58.7035,89.7415,51.9265,92.6027,59.2639,99.3993,96.829,80.683,26.9974,18.4429,21.9714,15.0924,10.7786,5.6461,38.055,9.8985,45.7138,73.3951,24.4119,27.0249,4.6695,66.1219,65.4591,59.1649,71.1246,24.5515,11.0676,33.3344,25.5326,94.0737,84.3429,74.6726,98.7853,87.0602,88.132,29.9206,66.1102,69.9625,98.1421,94.3961,57.9031,67.4944,8.4185,78.8908,97.1,51.7436,93.8745,48.2982,11.5564,81.8383,25.846,41.2587,89.1137,61.8685,88.0086,26.4402
Palicourea_dichotoma,97.2584,81.6776,77.237,87.5998,35.9768,66.5563,100,61.436,50.5609,31.7546,95.5542,39.6372,74.2201,38.8351,52.7067,27.009,74.037,60.7978,59.0082,60.5222,29.8129,82.2917,86.7016,55.2709,62.4736,59.7609,20.1751,22.1323,81.6238,23.1658,8.897,48.9008,58.2604,81.2296,21.1838,44.7382,60.4432,38.9716,8.3509,86.0447,14.2845,2.549,16.9729,54.7247,28.3609,71.9082,83.7626,5.0411,9.6963,14.7436,48.9299,50.6568,67.8597,85.1619,50.8227,56.8812,59.3509,11.4037,56.2563,93.3288,32.8113,34.5108,73.9139,28.8833,53.643,89.6175,69.22,75.6527,58.4817,6.7238,33.2838,33.6419,45.1975,85.2883,73.368,8.1843,12.908
Palicourea_gracilenta,91.6883,79.6218,81.3784,93.4934,53.1243,79.0703,77.5274,100,67.0405,46.1447,94.0834,97.8038,81.9651,47.544,82.4423,36.4824,91.1877,73.3245,63.8605,81.3362,44.2272,83.3029,90.603,41.0945,86.4568,56.7413,99.6265,20.2167,68.6027,36.1422,12.0168,14.3015,64.3102,72.0224,3.2082,58.7945,69.9736,43.2699,4.8861,85.8287,17.53,2.7843,15.6304,64.7245,27.8478,78.5601,91.2929,6.8844,8.9263,16.0305,63.3119,83.2428,72.7599,95.1161,69.5038,70.5326,42.1125,7.7311,63.2158,95.2597,85.1669,40.0192,79.7971,15.5527,69.3406,91.3172,70.1636,83.4664,66.7416,13.1607,78.3495,17.284,28.7215,86.4489,96.4824,9.4583,24.8038
Palicourea_obliquinervia,67.8706,93.1727,46.7223,92.1259,72.0223,48.2137,82.1713,90.4252,100,65.6089,94.8618,76.6935,50.9968,18.3661,78.4437,38.658,95.5237,62.744,54.2442,63.754,81.7921,39.0243,59.7559,30.8603,76.0915,75.0056,96.0997,35.3084,59.5426,40.9947,5.952,9.2569,74.5518,81.5614,1.0813,55.8074,3.235,35.5435,34.6998,93.3038,5.9259,1.1251,14.9746,65.1598,18.8267,27.7458,95.7338,2.5769,4.3483,5.5099,71.1509,73.1404,79.649,47.3285,25.7526,39.9645,52.0665,6.5464,26.1331,67.3185,63.1619,27.4892,82.8958,2.177,31.9702,54.3381,12.1953,85.9221,77.68,9.7091,44.9833,14.5907,23.9361,95.2943,99.131,5.749,16.627
Palicourea_prunifolia,27.3026,82.7217,31.4865,59.9392,43.8495,26.2031,52.5522,83.0275,73.5466,100,54.1345,33.034,24.8569,10.5434,69.4726,16.5368,88.555,52.5011,49.8869,39.9368,67.9104,47.6223,32.6023,40.4788,58.7573,90.7526,56.408,75.5707,44.2485,10.3481,8.4633,14.2296,79.2942,89.2965,0.4139,25.521,4.2075,6.1268,10.5392,92.6883,2.4392,1.7833,1.7229,14.1814,1.0323,15.796,89.4597,1.7947,1.6874,1.9059,54.2476,79.9746,83.2949,11.9339,11.1303,25.632,10.0059,0.394,3.5852,31.8721,24.0877,24.26,78.9565,4.1154,14.0999,20.1691,4.6389,50.6968,52.3704,22.7327,50.3837,37.6717,19.4085,85.3181,94.7869,0.551,28.8444
Palicourea_callithrix,54.7217,29.2724,22.3107,70.2913,60.2455,21.6421,22.3739,27.7272,47.3561,16.8501,100,80.9933,22.8849,4.7692,93.197,44.6082,98.8436,99.5378,99.2577,95.8713,73.612,95.5047,97.9898,39.129,87.6017,66.3732,70.1,53.1932,99.5936,64.0881,0.4326,63.9227,83.9156,83.4344,15.0697,83.7926,83.764,40.2877,11.1874,98.1029,94.5339,0.1275,31.8424,84.2446,34.2385,96.6648,99.5175,0.5821,11.4897,1.9346,79.4301,84.4515,87.6133,55.3346,95.7108,14.6184,48.9683,9.9515,6.0975,37.4355,59.3825,98.0393,93.8011,10.0772,9.814,64.6417,96.3531,97.6629,89.9499,0.3382,3.5477,0.9544,7.3816,99.3863,99.9597,12.7081,0.4501
Palicourea_glabra,87.4616,44.9427,63.3144,67.7101,72.679,44.2617,89.5354,55.2258,56.5885,14.1535,45.7175,100,55.2214,19.0807,37.8244,53.1819,96.4108,33.3591,22.7585,92.142,62.1265,85.899,98.356,20.1116,93.3803,42.2883,93.171,44.6926,33.4991,63.2488,1.2737,1.9563,55.1049,61.7815,1.2556,68.2998,61.9935,27.5957,12.4099,81.0922,6.0892,0.4159,41.8136,88.1036,49.3542,89.5636,96.127,1.936,8.7944,6.469,75.1494,31.3755,70.0026,83.3818,36.1487,34.9285,35.9405,16.2935,41.1851,82.805,55.1223,11.9889,82.6498,9.0298,35.8691,82.5885,81.5599,96.781,84.5727,1.0452,0.7955,2.9365,12.6093,94.1184,99.5876,20.1319,0.5119
Palicourea_acuminata,99.2952,88.0922,92.7066,95.078,98.6902,87.422,79.5334,91.3281,91.9859,60.7766,98.7177,99.4733,100,77.1982,47.0383,30.1146,83.5496,81.6718,78.2013,74.3112,33.0946,70.4819,89.177,23.1822,73.6028,37.6026,25.9196,17.8863,78.6357,30.6921,28.217,35.8341,53.8173,61.1265,14.1448,60.4339,56.8996,36.8199,6.2247,76.7563,75.7401,54.1382,19.5395,76.0649,35.0698,75.2371,88.6298,76.3104,8.4884,65.1353,51.825,39.5624,55.0538,26.5329,70.7473,87.6094,37.3802,9.0492,83.2629,66.7255,32.289,71.2307,73.2695,14.2403,75.2822,50.8911,70.4596,84.5326,58.232,6.1936,2.093,13.0474,14.4415,79.1085,92.744,11.6077,7.808
Palicourea_andina,94.5852,78.2147,90.9345,90.7021,85.8792,83.449,74.5827,78.2351,82.489,63.6978,95.189,85.0597,64.7175,100,15.6226,12.5533,41.6416,53.9785,45.0769,44.7167,4.6979,47.8475,52.8526,27.3382,32.0508,35.3829,3.6963,3.6983,45.7604,9.0841,50.4475,61.9209,79.7285,86.1504,33.7206,80.7236,82.0234,72.8506,5.1625,94.2312,90.3501,20.3657,17.9572,75.9347,41.0588,76.6688,96.9685,93.3315,16.1065,83.1827,14.0585,14.6736,32.9579,15.3088,53.2726,79.8448,64.058,2.6683,72.1552,30.9721,7.49,71.3611,85.5036,42.0832,87.4393,23.1323,85.3871,43.8842,15.688,14.7801,1.593,30.1527,8.6149,36.8461,63.6419,10.1788,13.4093
Palicourea_didymocarpos,75.7099,79.7615,47.6088,92.7286,63.3526,46.0672,73.9454,60.0927,84.9971,74.5091,36.483,73.2077,80.068,83.438,100,35.0792,92.8154,65.1457,61.9501,92.2897,54.5436,98.2518,83.6816,76.1752,79.8978,85.444,31.0087,30.1867,63.1178,28.8349,4.0055,65.0021,72.7326,88.4102,7.2179,36.1754,84.5141,22.8761,3.0268,95.1138,4.4001,1.2384,9.4852,45.8087,9.5964,78.2268,96.6267,2.022,3.4203,4.4987,62.0994,72.1884,81.8535,40.5294,58.3315,37.147,58.3833,3.7866,19.6265,66.4772,30.3185,23.6048,90.1328,22.8791,29.6983,54.0923,60.4813,76.4489,73.6106,7.2456,26.1814,19.2168,18.9173,93.6571,97.1141,3.3002,16.2249
Palicourea_rhodothamna,64.1435,89.4204,97.4533,64.3849,77.4131,23.754,89.7529,94.7939,81.9002,45.7527,41.9887,79.7047,97.6951,85.6111,82.5807,100,95.3244,23.2066,18.5908,36.8705,33.5091,9.7611,35.7983,6.1614,45.393,60.7082,70.0105,46.9064,23.8525,69.9636,1.8934,2.7863,1.6128,66.0907,0.9744,52.5599,1.0663,2.9733,30.2823,82.051,3.5385,0.3923,23.7885,86.2743,12.8744,19.1556,90.027,1.2938,7.8451,3.629,75.8255,21.9269,17.6865,48.0399,14.4515,20.5737,3.7502,16.9594,23.7526,58.6079,60.8751,10.2065,84.354,0.8134,23.6702,51.0731,7.2144,97.3653,84.3544,5.1519,0.7386,11.5028,8.1755,30.9623,99.0527,14.4991,1.6279
Palicourea_triphylla,25.4281,83.1016,68.4571,55.1564,58.3907,81.7765,81.2431,90.0204,73.457,52.0132,31.8712,50.784,91.429,79.2503,71.845,36.0596,100,81.2543,74.3093,89.7279,92.7948,55.5956,88.5625,51.4836,95.8809,57.7483,99.8655,98.5724,80.6073,34.6813,10.9617,15.5533,8.1126,6.6096,2.7782,16.8,5.8195,19.4659,63.4567,13.8982,14.0223,2.5169,35.4719,45.6252,35.0516,51.7084,14.9539,5.656,13.7223,12.904,95.2204,89.3644,82.0287,87.0453,59.3521,70.3182,23.4212,59.087,59.8794,96.1616,92.2565,43.2353,49.7422,5.0666,63.0574,90.3648,26.5996,91.0835,73.397,8.6646,62.0595,16.0834,49.0154,90.8532,54.5616,52.5372,22.6536
Palicourea_croceoides,88.078,96.4158,78.655,99.2543,41.0896,81.8754,78.695,92.3125,98.6938,94.5117,21.5254,96.5429,74.0574,71.4557,97.6169,95.2428,94.4107,100,86.4437,75.0386,33.78,88.9192,73.9487,60.9151,65.414,73.2021,17.9393,19.0676,82.123,19.5591,27.8747,58.7467,66.3724,82.4127,9.4206,40.5847,79.6039,35.1989,3.3673,89.3527,64.0134,6.2741,8.869,48.5751,13.263,67.0835,92.1008,9.3685,5.5966,18.2349,42.7392,58.7101,68.2541,87.0052,49.0103,77.0314,56.31,3.8468,55.9943,92.5159,19.1128,66.8829,75.6532,27.324,68.0459,25.7968,62.256,64.9123,52.725,15.327,81.6841,29.7143,16.628,80.094,94.356,3.8735,41.6128
Palicourea_crocea,91.0819,96.3537,74.814,98.2314,33.711,77.9633,86.896,90.3658,98.0404,96.5491,15.7696,92.3816,62.0734,60.9863,99.1607,96.6556,94.6895,92.1428,100,63.8232,28.959,88.6979,67.2594,63.4044,59.7144,71.1087,13.3762,14.4024,79.0389,14.2213,22.2414,53.8252,60.6933,79.7774,7.6552,29.405,71.8712,36.5341,2.6523,87.7366,51.0987,4.9786,5.8752,36.0672,10.4223,54.6062,81.2903,7.3265,3.9946,14.9492,39.9261,54.1673,66.1162,78.0696,38.9299,70.7979,48.283,3.9315,58.1334,90.8212,16.6073,59.6511,68.2541,21.1101,62.3432,19.5246,46.5101,56.3682,46.9545,14.9693,86.7191,30.1408,21.102,76.3945,83.5658,2.567,60.9951
Palicourea_lasiantha,96.2816,72.9426,85.4605,95.0172,50.9986,78.6465,69.8937,81.6465,87.8371,70.7846,27.9042,46.7317,86.9122,85.5905,71.1602,96.5849,84.5052,90.6799,91.5378,100,36.1377,87.4613,80.1435,42.2989,84.0656,57.5742,94.9052,21.0701,68.3272,35.6732,8.6669,13.6049,63.7338,71.7199,2.6604,57.678,70.9467,28.5449,4.5989,86.8123,14.0936,2.1538,14.888,70.0267,25.1865,76.3966,94.4556,5.5788,4.9607,14.3466,55.7821,68.7231,63.2113,91.0581,60.4343,72.4326,39.8177,8.215,57.5625,92.9166,92.2287,40.8612,85.8006,3.8582,64.0208,87.0228,30.4797,82.8488,63.9873,6.3348,32.3999,11.4704,25.8565,85.6399,98.4253,10.6092,13.6073
Palicourea_nitidella,54.5336,88.269,27.3383,76.2845,81.2758,24.1993,91.2501,91.8366,62.3022,43.4802,42.9668,62.8415,91.8114,60.5679,74.2,61.3974,48.6509,90.2186,94.3706,71.465,100,13.6828,40.3232,7.9112,57.2839,61.0761,93.9609,42.7744,30.9797,36.1774,0.4364,1.097,47.2993,61.9588,0.3425,33.5874,0.6929,23.346,8.1738,77.1996,1.5628,0.1941,13.8249,48.7553,11.3178,10.6769,80.0957,0.6403,0.8918,1.4442,84.1541,58.5567,78.7119,19.9298,11.9691,15.9808,32.0923,3.5026,14.7649,47.7425,53.2803,6.1127,65.0572,0.2179,14.2212,37.9254,2.821,89.0625,87.5813,0.3585,11.7537,0.7124,11.3925,93.9518,92.675,2.9296,1.4964
Palicourea_macrobotrys,81.7683,52.04,68.3433,93.7505,17.2968,71.0314,33.326,45.3617,94.1927,95.0242,7.2374,9.8684,38.1901,52.997,50.7744,92.979,89.2036,78.0186,84.5311,52.349,86.3305,100,79.0908,72.7393,90.8937,80.6838,97.224,6.0545,90.7993,6.8813,45.1699,50.9429,76.4474,91.1202,3.9943,27.295,17.6434,43.8868,80.4741,93.0432,16.309,8.9379,2.6686,19.2163,3.9368,54.3446,83.8571,8.4323,17.9154,14.5346,23.4078,91.2524,51.7953,66.5888,48.1964,67.4599,44.8711,1.2732,42.3516,84.1676,75.9001,75.8672,69.8008,24.9103,56.6113,72.5411,28.3399,31.1343,23.9135,29.7334,91.0054,47.6511,83.0587,54.7396,78.9109,1.2623,71.2319
Palicourea_guianensis,99.5582,90.2211,91.3308,94.6407,48.7719,83.0443,86.0814,83.037,90.7137,64.5443,27.8194,56.6786,93.7633,79.5304,59.2255,97.7835,91.523,86.8087,88.0431,85.6841,93.0719,40.1983,100,34.9329,94.5949,47.7041,99.8293,24.6255,83.8827,34.1188,10.4297,13.9443,53.4343,63.8016,5.2618,55.2189,58.1285,33.1535,7.0042,79.5016,20.0188,2.8865,19.6111,72.4006,35.1147,76.1101,88.2892,7.1775,8.6793,20.1067,59.8299,82.9111,63.9215,96.2858,69.7596,74.6392,42.5154,11.6865,78.2074,99.1305,98.5589,40.6137,75.6403,16.2279,72.3944,97.3767,69.2316,89.4598,69.4106,5.9528,44.6755,15.7934,75.8282,88.157,92.6715,11.3984,13.9986
