old_label,new_label
Pal_acanthacea,Palicourea_acanthacea
Pal_acuminata2,Palicourea_acuminata
Pal_allenii,Palicourea_allenii
Pal_amethystina,Palicourea_amethystina
Pal_andina,Palicourea_andina
Pal_angustifolia,Palicourea_angustifolia
Pal_apicata,Palicourea_apicata
Pal_bangii,Palicourea_bangii
Pal_berteroana,Palicourea_berteroana
Pal_brachiata,Palicourea_brachiata
Pal_brachypoda,Palicourea_brachypoda
Pal_brevicollis,Palicourea_brevicollis
Pal_callithrix,Palicourea_callithrix
Pal_conephoroides,Palicourea_conephoroides
Pal_correae,Palicourea_correae
Pal_corymbifera,Palicourea_corymbifera
Pal_crocea,Palicourea_crocea
Pal_croceoides,Palicourea_croceoides
Pal_cyanococca,Palicourea_cyanococca
Pal_deflexa,Palicourea_deflexa
Pal_demissa,Palicourea_demissa
Pal_dichotoma,Palicourea_dichotoma
Pal_didymocarpos,Palicourea_didymocarpos
Pal_divaricata,Palicourea_divaricata
Pal_domingensis,Palicourea_domingensis
Pal_egensis,Palicourea_egensis
Pal_elata,Palicourea_elata
Pal_flavescens,Palicourea_flavescens
Pal_flavifolia,Palicourea_flavifolia
Pal_glabra,Palicourea_glabra
Pal_glomerulata,Palicourea_glomerulata
Pal_gracilenta,Palicourea_gracilenta
Pal_grandiflora,Palicourea_grandiflora
Pal_guianensis1,Palicourea_guianensis
Pal_hazenii,Palicourea_hazenii
Pal_jelskii,Palicourea_jelskii
Pal_justiciifolia,Palicourea_justiciifolia
Pal_lasiantha,Palicourea_lasiantha
Pal_lehmannii,Palicourea_lehmannii
Pal_lineata,Palicourea_lineata
Pal_loxensis,Palicourea_loxensis
Pal_luteonivea,Palicourea_luteonivea
Pal_macrobotrys,Palicourea_macrobotrys
Pal_marcgravii,Palicourea_marcgravii
Pal_nitidella,Palicourea_nitidella
Pal_obliquinervia,Palicourea_obliquinervia
Pal_ostreophora,Palicourea_ostreophora
Pal_padifolia,Palicourea_padifolia
Pal_petiolaris,Palicourea_petiolaris
Pal_polycephala,Palicourea_polycephala
Pal_prunifolia,Palicourea_prunifolia
Pal_pubescens,Palicourea_pubescens
Pal_pyramidalis,Palicourea_pyramidalis
Pal_quadrifolia,Palicourea_quadrifolia
Pal_racemosa,Palicourea_racemosa
Pal_reticulata,Palicourea_reticulata
Pal_rhodothamna,Palicourea_rhodothamna
Pal_rigida,Palicourea_rigida
Pal_rosea,Psychotria_rosea
Pal_seemannii,Palicourea_seemannii
Pal_sessilis,Palicourea_sessilis
Pal_standleyana,Palicourea_standleyana
Pal_stenosepala,Palicourea_stenosepala
Pal_stipularis,Palicourea_stipularis
Pal_subfusca,Palicourea_subfusca
Pal_suerrensis,Palicourea_suerrensis
Pal_sulphurea,Palicourea_sulphurea
Pal_suterella,Psychotria_suterella
Pal_tetragona,Palicourea_tetragona
Pal_thyrsiflora,Palicourea_thyrsiflora
Pal_timbiquensis,Palicourea_timbiquensis
Pal_tinctoria,Palicourea_tinctoria
Pal_tomentosa,Palicourea_tomentosa
Pal_topoensis,Palicourea_topoensis
Pal_triphylla,Palicourea_triphylla
Pal_winkleri,Palicourea_winkleri
Pal_woronovii,Palicourea_woronovii